"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/sbd7B""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/4k2p/4P1p1/2p5/8/2q4P/5QKP/8 b - - 2 47""]
[SetUp ""1""]

47... Qe5 48. Qf7+ Kd6 49. Qd7# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/sydRS""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/6p1/3P4/6Qp/1p5P/pP6/P1P1q3/1Kr5 w - - 0 37""]
[SetUp ""1""]

37. Kxc1 Qe1# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/v7wuC""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""4Rqk1/8/5PpQ/8/1p6/2p4P/7K/8 b - - 0 53""]
[SetUp ""1""]

53... Qxe8 54. Qg7# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/r1p1a""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""8/2Q5/1p4k1/p7/2Pq2PK/8/7P/8 w - - 2 40""]
[SetUp ""1""]

40. Qc6+ Qf6+ 41. Qxf6+ Kxf6 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ZTUqu""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""8/1p2q3/8/p1K5/P2Q2P1/8/k7/8 w - - 15 58""]
[SetUp ""1""]

58. Kb6 Qb4+ 59. Qxb4 axb4 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/atkdk""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/8/p4pk1/3p3p/7K/2Q2PP1/PP2q2P/8 w - - 2 43""]
[SetUp ""1""]

43. Qb3 Qxh2# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/TS5FH""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""7k/8/p5pp/4P3/5QK1/P5P1/8/3q4 w - - 2 51""]
[SetUp ""1""]

51. Kh3 Qh1+ 52. Kg4 Qh5# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/XoInz""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/6pk/8/7P/8/3Qp3/2p2qPK/8 b - - 5 46""]
[SetUp ""1""]

46... Kh6 47. Qg6# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xwjkJ""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""6k1/Q1p5/p1p5/4p1p1/4P1P1/2PP4/P1P2K1q/8 w - - 2 29""]
[SetUp ""1""]

29. Ke3 Qg1+ 30. Ke2 Qxa7 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xGRGU""]
[Themes ""crushing deflection endgame queenEndgame veryLong""]
[FEN ""5qk1/p4p2/4pP1p/3p4/3Q4/7P/P5P1/7K b - - 4 33""]
[SetUp ""1""]

33... Qd8 34. Qg4+ Kf8 35. Qg7+ Ke8 36. Qg8+ Kd7 37. Qxf7+ *",crushing deflection endgame queenEndgame veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/15SNi""]
[Themes ""crushing endgame long queenEndgame""]
[FEN ""8/6kp/1p2qpp1/p7/3Q4/2P4P/2P2PP1/6K1 w - - 0 33""]
[SetUp ""1""]

33. c4 Qe1+ 34. Kh2 Qe5+ 35. Qxe5 fxe5 *",crushing endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/irWTQ""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/ppq2ppp/8/8/3PQ3/1P4PP/5PK1/8 b - - 0 31""]
[SetUp ""1""]

31... a5 32. Qe8# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/RV6BI""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/4P3/8/1p2P3/p1p5/P1P2k1K/1P6/4q3 w - - 0 45""]
[SetUp ""1""]

45. e8=Q Qg3# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/firaF""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/p4ppp/1p6/3q4/8/1P1P4/P5PP/4Q1K1 b - - 0 24""]
[SetUp ""1""]

24... f6 25. Qe8# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/c7hTb""]
[Themes ""advancedPawn endgame mate mateIn2 promotion queenEndgame short""]
[FEN ""8/kPK3p1/5p2/8/8/8/7p/8 b - - 1 43""]
[SetUp ""1""]

43... h1=Q 44. b8=Q+ Ka6 45. Qb6# *",advancedPawn endgame mate mateIn2 promotion queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/fEvKr""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""6k1/pQ4p1/8/2K5/8/P1P5/5qP1/8 w - - 9 53""]
[SetUp ""1""]

53. Kb4 Qb2+ 54. Kc4 Qxb7 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/z2Vrf""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""6Q1/8/p7/P4K2/8/k7/8/1q6 w - - 0 61""]
[SetUp ""1""]

61. Kg5 Qg1+ 62. Kf5 Qxg8 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/x6szP""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/Q5p1/4p2p/5p2/2P5/1P2K1P1/P4P2/1q6 w - - 0 32""]
[SetUp ""1""]

32. Kf4 Qe4# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/sbXYB""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/p4k1p/1p3p2/6P1/5Q2/1P4PK/4q3/8 b - - 2 44""]
[SetUp ""1""]

44... Kg6 45. Qxf6+ Kh5 46. Qh6# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/HTh7U""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/5p1P/8/K1k5/6P1/7P/P7/5q2 w - - 0 57""]
[SetUp ""1""]

57. h8=Q Qb5# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xlbKs""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""7k/8/8/P1p5/2Pp3p/5p1q/5P1P/1q4QK w - - 0 52""]
[SetUp ""1""]

52. Qxb1 Qg2# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UlzAB""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6k1/5ppp/p7/3q4/1Pp5/p1P4P/Q4PP1/5K2 w - - 0 36""]
[SetUp ""1""]

36. Qxa3 Qd1# *",endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Gkepf""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""7k/6p1/6Pp/7q/4QP2/6K1/8/8 b - - 0 52""]
[SetUp ""1""]

52... Qb5 53. Qa8+ Qb8 54. Qxb8# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/tPwUr""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/pp6/3p2k1/3Pp1p1/4Pq2/5Q2/PP4PK/8 w - - 8 35""]
[SetUp ""1""]

35. Kh3 Qh4# *",endgame mate mateIn1 oneMove queenEndgame
